標題,頻道,片長,連結,搜尋來源,簡介
AI Agent (1/3)：核心技術 Context Engineering 基本概念解說,Hung-yi Lee,53:06,https://www.youtube.com/watch?v=urwDLyNa9FU,李弘毅 AI,影片剪輯：李一駿助教背景知識：語言模型基本原理https://youtu.be/lVdajtNpaGI?si=gW7MvcA0BE0RgT5V 背景知識：解剖小 ...
AI Agent (2/3): AI Agent 之間可以有什麼樣的互動,Hung-yi Lee,22:29,https://www.youtube.com/watch?v=mmPmNezjCi0,李弘毅 AI,影片剪輯：李一駿助教.
AI Agent (3/3): AI Agent 對於工作帶來的衝擊 - 以學術研究為例,Hung-yi Lee,23:56,https://www.youtube.com/watch?v=VqB8zMujdjM,李弘毅 AI,教學怪物競賽: https://teaching.monster/ 影片剪輯：李一駿助教請注意本篇影片所提到的論文皆指投稿到國際會議或是期刊的論文， ...
ML Lecture 0-1: Introduction of  Machine Learning,Hung-yi Lee,38:57,https://www.youtube.com/watch?v=CXgbekl66jc,李弘毅 machine learning,What is Machine Learning?
ML Lecture 1: Regression - Case Study,Hung-yi Lee,1:18:35,https://www.youtube.com/watch?v=fegAeph9UaA,李弘毅 machine learning,The data of Pokémon in the video is from OpenIntro: https://www.openintro.org/stat/data/?data=pokemon.
ML Lecture 21-1: Recurrent Neural Network (Part I),Hung-yi Lee,49:00,https://www.youtube.com/watch?v=xCGidAeyS4M,李弘毅 deep learning,Example Application ...
【機器學習 2022】魚與熊掌可以兼得的深度學習,Hung-yi Lee,41:35,https://www.youtube.com/watch?v=yXd2D5J0QDU,李弘毅 deep learning,
"【機器學習2021】卷積神經網路 (Convolutional Neural Networks, CNN)",Hung-yi Lee,55:39,https://www.youtube.com/watch?v=OP5HcXJg2Aw,李弘毅 machine learning,ML2021 week3 3/12 Convolution Neural Network(CNN) slides: ...
"【機器學習2021】概述增強式學習 (Reinforcement Learning, RL) (一) – 增強式學習跟機器學習一樣都是三個步驟",Hung-yi Lee,45:02,https://www.youtube.com/watch?v=XWukX-ayIrs,李弘毅 deep learning,slides: https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/drl_v5.pdf.
"【機器學習2021】生成式對抗網路 (Generative Adversarial Network, GAN) (一) – 基本概念介紹",Hung-yi Lee,39:08,https://www.youtube.com/watch?v=4OWp0wDu6Xw,李弘毅 machine learning,https://speech.ee.ntu.edu.tw/~hylee/ml/ml2021-course-data/gan_v10.pdf.
