縣市,作品名稱,組別,科別,狀態,原始連結,備註
嘉義市,雨神同行!台灣季節性降雨與地震頻率的相關性,國中組,地球科學科,已找到官方名單,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,國中組／地球科學科；學校為嘉義市立嘉義國民中學
臺南市,下雨洗塵－減緩空氣中塑膠微粒濃度可行性研究,國中組,地球科學科,已公布得獎名單,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,國中組地球科學科第一名；官方PDF未見明確「推薦參加全國科展」欄位
臺南市,風與水的華爾滋—以自製小型風浪模擬裝置觀察水下基礎掏刷之可行性研究,國中組,地球科學科,已公布得獎名單,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,國中組地球科學科第二名；官方PDF未見明確「推薦參加全國科展」欄位
臺南市,搖搖晃晃～震的有意思（初探大埔驚天動地的秘密）,國中組,地球科學科,已公布得獎名單,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,國中組地球科學科第三名；官方PDF未見明確「推薦參加全國科展」欄位
臺南市,溪流的秘密,國中組,地球科學科,已公布得獎名單,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,國中組地球科學科佳作；官方PDF未見明確「推薦參加全國科展」欄位
高雄市,堰塞湖不同土石粒徑組成之穩定性及溢流、潰壩氾濫區域差別性之探討,國中組,地球科學科,入圍前三名,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,官方PDF未明示是否推薦全國科展；學校=五福國中（苓雅區）；另列團隊合作獎
高雄市,「尼」搖得「震」好–自給電阻尼器之可行性探討,國中組,地球科學科,入圍前三名,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,官方PDF未明示是否推薦全國科展；學校=後勁國中（楠梓區）；另列創意獎
高雄市,智取黑潮：具備主動式生態防護之垂直軸洋流發電系統開發,國中組,地球科學科,入圍前三名,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,官方PDF未明示是否推薦全國科展；學校=陽明國中（三民區）；另列探究精神獎
高雄市,新化斷層微地形與土壤及植被探究,國中組,地球科學科,入圍前三名,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,官方PDF未明示是否推薦全國科展；學校=路竹高中（路竹區）
新竹縣,「隕」落城市？新竹地區磁性岩石探討—以蓮花寺周邊為例,國中組,地球科學科,推薦參加全國科展,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,官方獲獎名單PDF列第一名並標示推薦參加全國賽；國中組地球科學科
