縣市,2026-05-15狀態,最佳證據網址,備註
基隆市,仍未見官方名單,https://www.kl.edu.tw/,重查教育資源網與可見子頁，未見第66屆地方科展官方名單
臺北市,仍未見官方名單,https://www.doe.gov.taipei/Content_List.aspx?n=F4125F199BC350B7,重查教育局首頁/最新消息/公文公告等，未見第66屆官方名單
新北市,仍未見官方名單,https://www.ntpc.edu.tw/home.jsp?id=dce5091510898f35,僅見第65屆全國科展捷報，未見第66屆地方科展官方名單
桃園市,只有入圍或得獎名單,https://science.tyc.edu.tw/,已確認初賽晉級、決賽得獎、全國科展培訓公告，但未取得逐件完整官方送件名單
臺中市,仍未見官方名單,https://www.tc.edu.tw/,重查教育局官網與可見頁面，未見第66屆官方名單
彰化縣,正式名單已取得,https://www.science.chc.edu.tw,已公告初審入選、複審得獎、參加全國賽科展作品名冊
南投縣,仍未見官方名單,https://sso.ntct.edu.tw/Bulletin/boardmoreone.aspx?CLASSID=17,深入公告系統後仍未見第66屆官方名單
雲林縣,技術阻礙,https://sites.google.com/ylc.edu.tw/science,科展站疑似 Google Sites，未登入情況無法可靠展開內容
嘉義市,已找到官方名單,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,官方PDF明確列出推薦參加第66屆全國科展名單，共7件；含國中組地球科學科作品。
嘉義縣,技術阻礙,https://www.cyc.edu.tw/,教育處常用入口 DNS 解析失敗
臺南市,仍未見官方名單,https://www.tn.edu.tw/?s=%E5%85%A8%E5%9C%8B%E7%A7%91%E5%B1%95,站內搜尋未見第66屆全國科展推薦/送件正式名單
高雄市,技術阻礙,https://bulletin.kh.edu.tw/,公告系統公開檢索受限，未能可靠確認正式名單
屏東縣,技術阻礙,https://www.ptc.edu.tw/,未成功找出可公開檢索公告的端點
宜蘭縣,已找到官方名單,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,官方科展站已公布推薦全國賽名單，共6件；未見國中組地球科學科推薦作品。
花蓮縣,仍未見官方名單,https://www.hlc.edu.tw/,首頁與站內搜尋未見第66屆地方科展官方名單
臺東縣,仍未見官方名單,https://www.boe.ttct.edu.tw/post/2026post1in.php,進一步檢查公告載入端點，仍未見相關名單
澎湖縣,技術阻礙,https://www.phc.edu.tw/,官方站連線失敗
金門縣,已找到官方名單,https://kmscience.km.edu.tw/site/news,官方科展平台2026-04-23已公告國展名單，共8件；未見國中組地球科學科推薦作品，但高中組有地科類推薦作品。
連江縣,仍未見官方名單,https://www.matsu.edu.tw/Default.aspx,首頁行事曆顯示 2026-05-15 為縣內科展評審日
苗栗縣,仍未見官方名單,https://www.mlc.edu.tw/,入口網與最新消息未見第66屆官方名單
新竹市,已找到官方名單,https://www.hc.edu.tw/edub/basic/Detail_News.aspx?fid=45428,教育網公告附PDF首頁明列送第66屆全國科展名單6件；有國中組地球科學科章節，但未列入送件6件。
新竹縣,已找到官方名單,https://hccsci.twedu.tw/hccsci66/Module/Bulletin/Detail.php?ID=10,2026-05-07官方公告明示推薦參加全國賽7件；已整理成單獨工作簿與作品列，下次不需重查。
