縣市,作品名稱,組別,科別,原始連結,狀態,備註
嘉義市,「數」途同歸-矩形棋盤不同填數規則之不動點幾何規律探究,國中組,數學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,PDF內列為推薦參加第66屆全國科展
嘉義市,雨神同行!台灣季節性降雨與地震頻率的相關性,國中組,地球科學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,國中組／地球科學科；學校為嘉義市立嘉義國民中學
嘉義市,以座標轉換為核心的遊戲機設計與實作,國中組,生活與應用科學科(一)(機電與資訊),http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市立玉山國民中學
嘉義市,植物精油應用於抑制 penicillium sp.青黴菌研究,國中組,生活與應用科學科(二)(含生物科技/食品科學),http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉華中學國中部
嘉義市,一張紙抓出錳？用手機B值打造水中Mn(II)的口袋實驗室,國小組,化學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市民族國小
嘉義市,點沙成石，鈣起來：阿里山砂頁岩互層MICP礦化處理之抗剪強度提升與抗蝕表現,國小組,地球科學科,http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市崇文國小
嘉義市,「蠟」麼厲害！可控溫3D列印蠟槍與環保蠟條之研究,國小組,生活與應用科學科(三)(含化學工程/環境科學),http://cyjesf.eduweb.tw/Upfile/嘉義市第44屆科展團體獎及推薦全國名單.pdf?appopen,已找到官方名單,學校為嘉義市世賢國小
臺南市,下雨洗塵－減緩空氣中塑膠微粒濃度可行性研究,國中組,地球科學科,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,已公布得獎名單,國中組地球科學科第一名；官方PDF未見明確「推薦參加全國科展」欄位
臺南市,風與水的華爾滋—以自製小型風浪模擬裝置觀察水下基礎掏刷之可行性研究,國中組,地球科學科,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,已公布得獎名單,國中組地球科學科第二名；官方PDF未見明確「推薦參加全國科展」欄位
臺南市,搖搖晃晃～震的有意思（初探大埔驚天動地的秘密）,國中組,地球科學科,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,已公布得獎名單,國中組地球科學科第三名；官方PDF未見明確「推薦參加全國科展」欄位
臺南市,溪流的秘密,國中組,地球科學科,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,已公布得獎名單,國中組地球科學科佳作；官方PDF未見明確「推薦參加全國科展」欄位
宜蘭縣,四方連塊拼圖問題之研究,國中組,數學,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,探討過氧化氫回收銅的可行性,國中組,化學,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,危機蟲蟲：基於 Inception V3 的害蟲影像辨識與數據優化研究,國中組,生活與應用科學科（一）,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,田間福壽螺大作戰－環保趨避防治策略研究,國中組,生活與應用科學科（三）,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,浮光流轉－走馬燈探究,國小組,物理,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
宜蘭縣,從「碟仙」到「梅杜莎」－海月水母碟狀體飼養之探討,國小組,生物,https://sci.ilc.edu.tw/wp-content/uploads/sites/1097/2025/04/114%E7%A7%91%E5%B1%95%E6%8E%A8%E8%96%A6%E5%85%A8%E5%9C%8B%E8%B3%BD%E5%90%8D%E5%96%AE.pdf,推薦參加全國科展,114年度宜蘭縣官方科展站公告之推薦全國賽名單
