縣市,目前狀態,原始網址,入口網址,下次建議查核,備註
南投縣,未見可驗證公開名單,https://www.ntct.edu.tw/,,2026-05-17T08:18:00+08:00,本輪僅檢視南投縣政府教育處官方首頁；首頁熱門網站可見『南投縣科學展覽平台』入口，但首頁本身未直接提供可驗證公開名單或名單資訊。
嘉義縣,專區層級未見名單,https://www.cyc.edu.tw/,https://www.cyc.edu.tw/,2026-05-17T10:48:00+08:00,截至2026-05-10，查嘉義縣教育資訊網與國臺科教館站內搜尋，未見第66屆入選/推薦全國科展名單。
基隆市,管理調整中,https://www.kl.edu.tw/v7/eduweb/index.php?sub=0&xid=2574,,2026-05-17T07:22:00+08:00,官方頁面可開啟但導向教育處首頁，未見可直接驗證之科展公開名單資訊，需後續改查更精確官方頁面。
屏東縣,專區層級未見名單,https://www.ptc.edu.tw/,https://portal.ptc.edu.tw/bulletin/,2026-05-17T15:42:00+08:00,已查教育處官網與官方 bulletin/RSS 公告系統，截至2026-05-10未見第66屆入選/推薦全國科展名單，也未見明確公布時程。
彰化縣,未見可驗證公開名單,https://newboe.chc.edu.tw/introduction/organization/show/I,https://newboe.chc.edu.tw/introduction/organization/show/I,2026-05-17T08:08:00+08:00,本輪依既有入口檢視彰化縣教育處新雲端之縣網中心頁；頁面為單位介紹與公告入口，未見可直接驗證之彰化縣科學展覽會公開名單或名單連結。
新北市,未見可驗證公開名單,https://www.ntpc.edu.tw/,https://www.ntpc.edu.tw/,2026-05-17T07:38:00+08:00,本輪僅檢視新北市政府教育局官方首頁；頁面可見教育榮耀含第65屆全國科展得獎訊息，但未見可直接驗證之新北市科學展覽會公開名單連結或名單資訊。
桃園市,未見可驗證公開名單,https://www.tyc.edu.tw/,https://www.tyc.edu.tw/,2026-05-17T07:48:00+08:00,本輪僅檢視桃園市政府教育局官方首頁；首頁主題專區可見『桃園市中小學科學展覽會』連結，但未直接提供可驗證公開名單，首頁最新消息區亦未見名單資訊。
澎湖縣,專區層級未見名單,https://www.penghu.gov.tw/edu/home.jsp?id=213,https://www.penghu.gov.tw/edu/home.jsp?id=213,2026-05-17T16:24:00+08:00,已查教育處國教科-科學展覽成果專區與科教館時程公告，未見第66屆地方入選/推薦全國名單或PDF。
臺中市,未見可驗證公開名單,https://www.tc.edu.tw/,https://www.tc.edu.tw/,2026-05-17T07:58:00+08:00,本輪僅檢視臺中市政府教育局官方首頁；首頁最新公告與頁面內容未見可直接驗證之臺中市科學展覽會公開名單連結或名單資訊。
臺北市,未見可驗證公開名單,https://www.doe.gov.taipei/,https://www.doe.gov.taipei/,2026-05-17T07:28:00+08:00,本輪僅檢視教育局官方首頁；首頁可見一般公告與分類消息，但未見可直接驗證之臺北市科學展覽會公開名單連結或名單資訊。
臺南市,已公布得獎名單,https://sf.tn.edu.tw/uploads/science_fair/file/66/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AC%AC%E5%85%AD%E5%8D%81%E5%85%AD%E5%B1%86%E5%85%AC%E7%A7%81%E7%AB%8B%E5%9C%8B%E6%B0%91%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE.pdf,https://sf.tn.edu.tw/,2026-05-17T10:48:00+08:00,官方平台已公布第66屆得獎名單；已確認國中組地球科學科4件，但PDF未明確標示推薦參加全國科展欄位。
臺東縣,已出現全國展作品訊號，未公開名單,https://portal.boe.ttct.edu.tw/bulletin/view.php?sn=B115000927,https://portal.boe.ttct.edu.tw/,2026-05-17T16:24:00+08:00,官方5/5公告與附件可旁證已完成評選且有全國賽作品展/全國展作品導覽，但未公開入選/推薦全國科展名單清冊。
花蓮縣,專區層級未見名單,https://www.hlc.edu.tw/,https://news.hlc.edu.tw/,2026-05-17T16:24:00+08:00,已查教育處主站、新聞站、組織文章頁與 department RSS，未查得第66屆入選/推薦全國科展名單或可下載PDF。
苗栗縣,專區層級未見名單,https://www.mlc.edu.tw/,https://www.mlc.edu.tw/,2026-05-17T17:28:00+08:00,教育處首頁可開，但未查得第66屆入選/推薦全國科展名單；部分細節頁/搜尋頁回錯誤頁，官方站查詢不穩。
連江縣,已確認公布日未到,https://www.matsu.edu.tw/,https://www.matsu.edu.tw/,2026-05-16T17:28:00+08:00,教育處首頁已公告場布115-05-14、評審115-05-15；截至2026-05-10尚未到名單公開階段，未查得第66屆入選/推薦全國科展名單。
雲林縣,管理調整中,https://www.ylc.edu.tw/,,2026-05-11T08:28:00+08:00,本輪僅檢視雲林縣教育網首頁來源，但官方頁面抓取逾時，無法在本輪確認是否有可驗證公開名單，因此暫列管理調整中。
高雄市,已公布得獎/入圍名單，未明示推薦全國名單,https://sf.kh.edu.tw/uploads/science_fair/file/66/2026%E9%AB%98%E9%9B%84%E5%B8%82%E7%AC%AC66%E5%B1%86%E4%B8%AD%E5%B0%8F%E5%AD%B8%E7%A7%91%E5%AD%B8%E5%B1%95%E8%A6%BD%E6%9C%83%E5%BE%97%E7%8D%8E%E5%90%8D%E5%96%AE%EF%BC%88%E5%85%A5%E5%9C%8D%E5%90%8D%E5%96%AE%E5%8F%8A%E5%90%84%E9%A0%85%E7%8D%8E%E9%A0%85%EF%BC%89.pdf,https://sf.kh.edu.tw/,2026-05-17T15:42:00+08:00,官方科展站已公布得獎/入圍PDF；國中組地球科學科有4件入圍前三名，但未明示是否推薦參加全國科展。
